poi_name,poi_rating,poi_price,poi_category,poi_address,poi_latitude,poi_longitude,source,nearest_bike_station,distance_to_nearest_station,bike_station_name,bike_station_latitude,bike_station_longitude,number_of_bikes
Üçkuyular Pide Döner,4.0,Unknown,['Turkish'],"Üç Kuyular Mah., Mehmetçik Bulv. 11. Sok. No: 32/ B, 35290 İzmir, Turkey",38.394414,27.070484,yelp,Fahrettin Altay,260.0589059161656,Fahrettin Altay,38.39675,27.070629,12
Yaşar Büfe,4.0,Unknown,"['Barbeque', 'Fast Food', 'Sandwiches']","Mehmetçik Bulv., Üçkuyular, 35140 İzmir, Turkey",38.3948237026642,27.0693053174439,yelp,Fahrettin Altay,243.28268278691672,Fahrettin Altay,38.39675,27.070629,12
Üçkuyular market tekel bayii,3.0,Unknown,['Delis'],"Gürsel Aksel Bulv., Üçkuyular ,Göztepe, 35140 İzmir, Turkey",38.3949845,27.07464,yelp,Fahrettin Altay,400.90490694309847,Fahrettin Altay,38.39675,27.070629,12
Söğüşçü Mira,8.0,Unknown,Söğüş Place,"Mithatpaşa Cad No:1073 (Mithatpaşa), 35280 Konak",38.399244,27.079378,foursquare,A.A Saygun,191.85947327550684,A.A Saygun,38.4006949388,27.0781865266,20
Coffeemania,7.6,2.0,Café,"Mithatpaşa, 35330 İzmir",38.399379,27.080053,foursquare,A.A Saygun,218.78349182499824,A.A Saygun,38.4006949388,27.0781865266,20
Café Violin,8.2,2.0,Café,"18 Sok No: 8 A/B, İzmir",38.398048,27.077769,foursquare,A.A Saygun,296.5670053313846,A.A Saygun,38.4006949388,27.0781865266,20
Gel Tat,7.7,2.0,Café,İzmir,38.39868,27.076967,foursquare,A.A Saygun,247.97789334427884,A.A Saygun,38.4006949388,27.0781865266,20
Caffe D'Amore,7.9,2.0,Café,İzmir,38.398361,27.077488,foursquare,A.A Saygun,266.5658253877973,A.A Saygun,38.4006949388,27.0781865266,20
Bi Mekan Coffee & Bakery,7.5,2.0,Café,"Mithatpaşa Cad No:1087 (Mithatpaşa), 35290 Konak",38.398601,27.078349,foursquare,A.A Saygun,233.26578280313825,A.A Saygun,38.4006949388,27.0781865266,20
Söğüşçü Aco Güzelyalı,8.1,1.0,Fast Food,"Mithat Paşa Cad, No: 1045 / Daire: Güzelyalı (Mithatpaşa Cad.), Konak",38.398993,27.080547,foursquare,A.A Saygun,279.51123112863803,A.A Saygun,38.4006949388,27.0781865266,20
Peximet Göztepe,4.0,₺,"['Coffee & Tea', 'Cafes']","Mithatpaşa Cd. No:1170, Güzelyalı, 35290 İzmir, Turkey",38.3988263,27.0788747,yelp,A.A Saygun,216.2644531509474,A.A Saygun,38.4006949388,27.0781865266,20
Waffle'cı Akın,4.6,Unknown,"['Coffee & Tea', 'Cafes', 'Waffles']","Mithat Paşa Cad. No:1073/A, Göztepe, 35290 İzmir, Turkey",38.398816,27.07949,yelp,A.A Saygun,237.81008674962115,A.A Saygun,38.4006949388,27.0781865266,20
By Cicogna Restoran,3.2,₺₺,['Turkish'],"Üçkuyular /  İzmir, Haydar Aliyev Bulv. No: 4 Levent Marina İçinde, 35290 İzmir, Turkey",38.398486,27.080187,yelp,A.A Saygun,301.19920659726256,A.A Saygun,38.4006949388,27.0781865266,20
Enginar Restaurant & Cafe,8.6,Unknown,Turkish Home Cooking,"Mithatpaşa Cad No:1164, İzmir",38.399105,27.080645,foursquare,Göztepe Köprü,270.8672229260265,Göztepe Köprü,38.3992000613,27.0837509082,30
Hatay Unlu Mamuller Güzelyalı Şubesi,7.9,1.0,Bakery,Unknown,38.39891,27.081863,foursquare,Göztepe Köprü,167.65162913290186,Göztepe Köprü,38.3992000613,27.0837509082,30
Göztepe Ekmek Fırını,8.4,1.0,Bakery,İzmir,38.398564,27.08267,foursquare,Göztepe Köprü,117.7920619796811,Göztepe Köprü,38.3992000613,27.0837509082,30
La Folie Güzelyalı,8.1,2.0,Restaurant,"Mithatpaşa Cad No:1096/A Konak (Mithatpaşa Cd.), 35290 İzmir",38.398179,27.08409,foursquare,Göztepe Köprü,117.31943593430117,Göztepe Köprü,38.3992000613,27.0837509082,30
Lezzet Lokantası,8.4,Unknown,Dining and Drinking,"40 Sok No: 1 / Cad, 35290 İzmir",38.397715,27.08396,foursquare,Göztepe Köprü,166.1337751689771,Göztepe Köprü,38.3992000613,27.0837509082,30
Ceyhan Lokantası,8.1,Unknown,Turkish,"40 Sok, No: 3 / B Güzelyalı, 35290 Konak",38.397715,27.08396,foursquare,Göztepe Köprü,166.1337751689771,Göztepe Köprü,38.3992000613,27.0837509082,30
Park Lokantası,8.9,Unknown,Turkish Home Cooking,"30 Sok No: 1 / E, Güzelyalı, İzmir",38.396848,27.081806,foursquare,Göztepe Köprü,311.6546692711765,Göztepe Köprü,38.3992000613,27.0837509082,30
The Irish Pub,7.7,Unknown,Irish,"Mustafa Kemal Sahil Bulvarı, 35290 İzmir",38.39748,27.085371,foursquare,Göztepe Köprü,237.7263929674729,Göztepe Köprü,38.3992000613,27.0837509082,30
Sanita,7.5,2.0,Café,"Mustafa Kemal Sahil Bul No:679, Konak",38.397783,27.085687,foursquare,Göztepe Köprü,230.85678374557287,Göztepe Köprü,38.3992000613,27.0837509082,30
