restaurant_name,restaurant_latitude,restaurant_longitude,rating,price,category,tel,address,distance
Kardeşler Büfe,38.454818,27.118733,8.3,1.0,Sandwich Spot,(0232) 381 82 83,"Cemal Gürsel Cad No:234/B, Karşıyaka",132.0
Evreka Cafe,38.455617,27.118233,9.3,2.0,Café,,"1722 Sok No:7, 35000 Karşıyaka",176.0
Tilla Restaurant,38.456846,27.119317,8.2,2.0,Turkish,(0232) 364 47 01,"1690 Sok No:22/A, Karşıyaka",165.0
Karşıyaka Kokoreç,38.456126,27.118851,8.0,,Kokoreç Restaurant,(0232) 368 78 29,İzmir,158.0
Köfteci Erol,38.456036,27.118139,8.9,2.0,Turkish,(0232) 368 56 22,"1721 Sok No:4 Melek İşhanı Ve Pasajı P05, Karşıyaka",212.0
Yağmur Cafe,38.455672,27.118282,8.1,2.0,Café,,İzmir,185.0
Karşıyaka Meyhane,38.454399,27.1179,8.5,,Meyhane,,,223.0
Kent Restaurant,38.448912,27.112318,8.1,2.0,Seafood,(0232) 369 30 74,"Cemal Gürsel Cad No:53/A, 35510 Karşıyaka",172.0
Yelken Restaurant,38.450705,27.108244,8.5,3.0,Seafood,(0232) 368 48 48,"Cemal Gürsel Cad No:416/A, Karşıyaka",243.0
Pitas Boşnak Börekçisi,38.454437,27.111722,8.5,2.0,Café,,"Fazıl Bey Cad, İzmir",573.0
Aytekin Usta,38.454655,27.110153,8.8,2.0,Turkish,(0232) 364 25 99,"Aksoy Cad Karşıyaka, 35580 İzmir",591.0
Adı Tadı Kahvaltı & Cafe,38.453057,27.105591,8.3,2.0,Breakfast,,"Girne Bul 24/A Karşıyaka (Girne Bulvarı), İzmir",599.0
Gordios Cafe & Ev Yemekleri,38.453448,27.105936,8.4,,Turkish Home Cooking,(0232) 381 40 50,"Girne Cad 27/A, İzmir",621.0
Şehnaz Özbek Mantısı,38.454571,27.106834,9.3,,Manti,0532 713 91 04,"Girne BLV 36-6A (Girne caddesi no:36-6A Karşıyaka), Karşıyaka",666.0
Aslı Pide Pizza Ve Lahmacun Salonu,38.455236,27.10844,8.0,2.0,Turkish,(0232) 381 01 01,"1738 Sok No:87/1B Aksoy Karşıyaka (Girne Caddesi), 35530 İzmir",651.0
Balıkhanee,38.455236,27.107513,8.3,3.0,Seafood,(0232) 369 99 96,"Fazıl Bey Cad No:95/1 (Fazıl Bey Caddesi), 35580 Karşıyaka",677.0
Aksoy Pide,38.455018,27.107228,8.4,,Pide,,"Aksoy Cad (Girne Blv.), İzmir",698.0
İkram Evi Karşıyaka İzmir,38.454509,27.104091,9.3,,Turkish Home Cooking,(0232) 368 50 47,Karşıyaka,354.0
Cafe La Vie,38.453531,27.10091,8.8,2.0,Café,(0232) 364 35 06,"Cemal Gürsel Cad, No: 407 / A, Denizbostanlısı, 35000 Karşıyaka",403.0
Peri Art Cafe,38.45425,27.10059,8.7,2.0,Café,,Karşıyaka,458.0
Thechef4U,38.455331,27.106021,8.6,,Food Court,0530 733 15 95,"Nebil Susup Sok No:112/A, İzmir",480.0
Ler Cafe,38.454542,27.100782,8.4,1.0,Café,,2008 Sok 1A Bostanlı (Bostanlı),484.0
Cafe Park,38.455285,27.098378,8.1,2.0,Café,(0232) 362 72 29,"Bostanli, İzmir",159.0
Muhtelif Meyhane,38.456033,27.094959,8.8,,Meyhane,0530 861 98 83,"Suat Gürbüzer Sok No:9/A, 35590 Karşıyaka",230.0
Gets Refined Patisserie,38.456943,27.095484,8.3,1.0,Bakery,,35590 İzmir,279.0
Tuzu Biberi Kahvaltı Ve Yemek Evi,38.456256,27.094229,8.2,2.0,Turkish,(0232) 330 08 88,"1807 / 1 Sok, No: 16 / Cad, Denizbostanlısı (Hasan Ali Yücel Bulvari), 35590 Karşıyaka",283.0
Selanik Meyhanesi,38.457335,27.097683,8.5,,Meyhane,0544 305 40 70,"Cemal Gürsel Cad No:77/1 A (Bostanlı Camii), 35290 İzmir",305.0
Kokoreççi Baki Usta,38.457469,27.097431,8.8,2.0,Kokoreç Restaurant,(0232) 362 19 82,"Cemal Gürsel Cad No:500/B Bostanli Karsiyaka Izmir, İzmir",334.0
Gourmet,38.456898,27.099458,8.8,1.0,Bakery,(0232) 362 68 78,"1794 Sok, 35540 İzmir",337.0
Köfteci Yalçın Baba,38.461835,27.086263,8.5,1.0,Food Truck,,"Bostanlı Cep, İzmir",132.0
RCS Cafe,38.458792,27.094241,8.1,2.0,Café,(0232) 330 30 43,"Cengiz Topel Cad, No: 4, A, 35540 Karşıyaka",325.0
The Huch,38.459183,27.092434,8.5,2.0,Café,,"Cengiz Topel Cad No:21 A (cengiz topel), 35000 İzmir",346.0
Karaf Meyhane,38.457893,27.096322,9.0,,Meyhane,,"Cemal Gürsel Cad No:97/B, Karşıyaka",395.0
Dodi Çiğ Börek,38.458256,27.096178,8.3,,Borek,(0232) 330 75 57,"Şehitler Bul No: 9/E, Karşıyaka Merkez, 35160 İzmir",406.0
Karşıyaka Meze Evi Ev Yemekleri,38.458715,27.096397,9.1,2.0,Restaurant,(0232) 336 90 00,İzmir,449.0
Bostanli Uskup Restoran,38.458094,27.09687,8.3,3.0,Seafood,0532 320 05 74,"Cemal Gursel Cad No: 516/A Karsiyaka, Karşıyaka",421.0
Yasemin Cafe,38.462527,27.084649,8.2,1.0,Café,(0232) 330 90 80,"Cemal Gürsel Cad, 35530 Karşıyaka",29.0
Yasemin Kafe,38.462477,27.084511,,2.0,Café,,İzmir,50.0
Çukutala Café,38.461646,27.089248,8.4,1.0,Bakery,(0232) 330 44 11,"Cengiz Topel Cad No: 46/1-d (Cengiz Topel), Karşıyaka",385.0
Pizza Rucola,38.464193,27.090012,8.6,2.0,Pizza,0850 279 7936,"Bestekar Sadi Hoşses Sok No:42/A, Karşıyaka",482.0
Shebo's Sandwich & Burger,38.464193,27.090012,8.4,2.0,Burgers,(0232) 336 00 66,"Bestekar Sadi Hoşses Sok No:42B, 35550 Karşıyaka",477.0
Yuka Brasserie,38.461422,27.089051,7.1,,Brasserie,,"Cengiz Topel Cad No46/B, İzmir",375.0
Boğaziçi Restaurant Bostanlı,38.460367,27.090809,9.0,3.0,Turkish,(0232) 330 00 13,"Cengiz Topel Cad No: 38 / B Bostanlı (Bostanlı), 35540 Karşıyaka",543.0
Offal Food,38.46478,27.090993,8.8,,Dining and Drinking,(0232) 300 03 60,"Cahar Dudayev Bul No:157/C Karşıyaka, 35590 İzmir",594.0
Kemal Usta Et & Köfte,38.466098,27.089745,8.4,4.0,Steakhouse,(0232) 336 23 24,"Caher Dudayev Bul No: 139/B Atakent, Bostanli, 35550 Karşıyaka",584.0
Hayyam Meyhanesi,38.467417,27.087215,8.3,,Meyhane,(0232) 486 12 86,"Caher Dudayev BLV. No:106/A, Karşıyaka",606.0
Denizkent Cafe,38.467592,27.077341,7.9,2.0,Café,,"Sahil Yol, Karşıyaka",440.0
Deniz Kent Restaurant,38.467463,27.076579,7.9,3.0,Seafood,(0232) 324 10 20,"2043 Sok, No: 9, Denizbostanlısı, 35510 Karşıyaka",485.0
Alsancak Dostlar Fırını,38.469271,27.087166,9.0,1.0,Bakery,(0232) 330 92 02,"Caher Dudayev BLV. No: 107/B Atakent, Karşıyaka",635.0
Harbi-ye Dürüm Kebap,38.471087,27.074305,7.9,,Kebab,,"Ege Park Mavişehir Avm (2040 Sokak), İzmir",603.0
Gold Yengeç Restaurant,38.472546,27.075499,7.9,3.0,Seafood,(0232) 502 50 20,"Caher Dudayev BLV. No:40, 35590 Karşıyaka",637.0
Dükkan Sandwich Kumru,38.471959,27.074518,8.2,2.0,Fast Food,,"2040/4 Sok No:8, İzmir",671.0
Engözde Et Döner,38.471886,27.084608,8.0,,Restaurant,,35550 İzmir,670.0
Nappo,38.472702,27.074895,7.8,2.0,Pizza,0545 436 27 76,"Aziz Nesin Bul Cad Blok Giris Kat, Carsi Alani No:24 D:Z04, 35590 İzmir",681.0
Kuğulu Cafe,38.488922,26.961182,7.1,2.0,Café,,"İzmir Doğal Yaşam Parkı, Çiğli",228.0
Green Big Tween,38.489069,26.961272,,2.0,Breakfast,,,234.0
Başkanın Yeri Sasalı,38.491474,26.951538,8.6,3.0,Seafood,0533 567 13 19,"Ahmet Piriştina Cad, İzmir",756.0
Şen Et Dünyası,38.494602,26.952375,8.9,4.0,Steakhouse,,İzmir,923.0
Flamingo Cafe,38.494356,26.952529,7.9,2.0,Café,,Çiğli,911.0
Derin Unlu Mamulleri,38.494086,26.951179,8.1,1.0,Bakery,,"Sasalı Mah, Çiğli",966.0
Develi Cafe,38.49056,26.967073,6.5,2.0,Café,,"İzmir Doğal Yaşam Parkı, Çiğli",754.0
Tuzla Balık Restaurant,38.491138,26.948307,7.9,2.0,Seafood,(0232) 327 42 99,"Ahmet Piriştina Cad No52 B., 35640 Çiğli",986.0
Metro Simit Evi,38.49411,26.961826,,1.0,Bagels,,,727.0
Șen Köfteci,38.494295,26.952568,,,Dining and Drinking,,"1 Sok (Sasalı Çiğli), İzmir",906.0
Pizza Pizza,38.461393,27.127595,7.8,2.0,Pizza,(0232) 366 91 81,"Yalı Cad No: 2/A, Alaybey (Karşıyaka), Karşıyaka",50.0
Deniz Çay Evi,38.461203,27.126872,7.8,2.0,Café,(0232) 382 46 26,"Yalı Cad No: 4, Karşıyaka Merkez, Karşıyaka",57.0
"Pizza Pizza, Alaybey",38.461393,27.127595,7.1,2.0,Pizza,(0232) 444 45 00,"Cemal Gürsel Cad, Karşıyaka",41.0
Elazığ Çiğ Köftecisi,38.460661,27.127163,7.3,2.0,Turkish,,,59.0
Elazığlı Haliloğlu Çiğ Köftecisi,38.460667,27.126955,7.1,,Cigkofte,(0232) 365 53 23,35050 Karşıyaka,59.0
Chicky,38.460549,27.126944,6.9,2.0,Fast Food,(0232) 366 81 81,"Yalı Cad No:16/A Karşıyaka, İzmir",79.0
Sushitto Karşıyaka,38.460611,27.126905,6.6,3.0,Sushi,,Karşıyaka,85.0
Durmuş Usta,38.462678,27.127802,7.5,1.0,Soup Spot,,"1675 Sok (Cemal Gürsel Caddesi), 35600 İzmir",178.0
Yalı Kumrucu,38.46022,27.12656,6.9,2.0,Burgers,(0232) 372 72 42,"Şehit Asım Aksoy Cad No: 2/B (Alaybey), Karşıyaka",153.0
Tersana Kafe,38.462175,27.127359,6.6,2.0,Café,,,117.0
Artı Burgerhouse,38.461658,27.207315,8.6,2.0,Burgers,0533 945 01 35,"185 Sok No:21, 35100 Bornova",453.0
Dürümcü Oğuz'un Yeri,38.461386,27.207645,8.7,,Kebab,0535 674 15 67,"185 Sok No:40-2, Bornova",486.0
Gerdan Gurme,38.461693,27.204934,7.7,2.0,Fried Chicken,(0232) 342 32 42,"Mustafa Kemal Cad No:116/A Bornova Merkez, Bornova",416.0
Emniyet Restaurant,38.422975,27.141533,8.1,,Meyhane,(0232) 441 43 69,"1367 Sok No:14, İzmir",213.0
Ciğerci Ali Baba,38.424573,27.139607,8.3,,Turkish Home Cooking,0532 644 50 96,Konak,337.0
Bergama Börek Evi,38.424216,27.139662,8.3,1.0,Dining and Drinking,(0232) 482 02 06,"Hürriyet Bul 1362 Sok No: 24, Konak, İzmir (Fevzi Paşa Caddesi), İzmir",335.0
Kelle Halil'in Yeri,38.42117,27.141146,8.3,4.0,Meyhane,,"1301 Sok No:49 Basmane, İzmir",392.0
Küncü Fırın & Cafe,38.422668,27.138945,8.6,1.0,Bakery,,"Fevzipaşa Bul No:152/C, Konak",420.0
Fatih Kebap Salonu,38.420371,27.140719,8.3,,Kebab,(0232) 483 05 50,"Anafartalar Cad No:699 Basmane, İzmir",413.0
Remzi Usta Diyarbakır Lezzetleri,38.422668,27.138945,7.9,2.0,Turkish,(0232) 371 21 21,"Fevzi Paşa BLV. 1361 Sok No:115, 03500 İzmir",416.0
Uğur Lokantası,38.423585,27.138456,8.2,3.0,Turkish Home Cooking,(0232) 483 32 34,"Gaziosman Paşa Bul, 1369 Sok, No: 11, Küçükyalı, Konak",449.0
Tarihi Basmane Fırını,38.420706,27.143796,7.6,1.0,Bakery,(0232) 483 04 52,"Anafartalar Cad No:850 (Anafartalar Caddesi), İzmir",399.0
P'an-ku Pancakes,38.430786,27.142122,9.0,2.0,Café,0543 506 94 41,"1382 Sok No:37 (Şair Eşref Bulvarı), 35220 İzmir",127.0
Simarik Cafe,38.429189,27.141268,7.8,2.0,Turkish,,,98.0
Paprica Pizza & Ristorante,38.431971,27.142055,8.8,3.0,Italian,0549 422 22 70,"Dr. Mustafa Enver Bey Cad No: 30/2, 35220 İzmir",252.0
Mavi Köşe,38.427904,27.140134,8.5,2.0,Sandwich Spot,(0232) 446 90 37,"Şht. Nevres Bul Süsler Apt. No: 6/A Montrö Konak, İzmir",268.0
Pizza Locale,38.432524,27.142635,9.1,2.0,Pizza,(0232) 463 45 60,"1390 Sok No:5/B Alsancak, 35220 Konak",310.0
Rimo's Crêperie,38.428865,27.138943,8.5,1.0,Dining and Drinking,0533 361 99 19,"Sevket Ozcelik Sok No: 37/1B Alsancak (Kültür Mahallesi Alsancak), 35210 İzmir",313.0
Yuzde Yuz Restaurant & Cafe Alsancak,38.432435,27.140332,8.4,3.0,Restaurant,(0232) 422 55 35,"Dr. Mustafa Bey Cad Alsancak, Konak, Konak",352.0
Aklan Unlu Mamülleri,38.42849,27.138335,7.7,1.0,Bakery,,"1379 sokak, 35240 İzmir",291.0
Balıkada,38.428485,27.136569,8.9,3.0,Seafood,(0232) 484 12 14,"Sehit Nevres Bul No: 2/G-h Swissotel Alti, İzmir",450.0
Sushico,38.428485,27.136569,8.3,2.0,Sushi,(0232) 484 00 70,"Şehit Nevres Bul, No: 2 / F Alsancak, 35220 Konak",462.0
Tavuk Dünyası,38.47311,27.074049,8.2,2.0,Fried Chicken,(0232) 502 17 92,"Caher Dudayev Bul Mavi Bahçe Alışveriş Merkezi, 35590 Karşıyaka",214.0
Midpoint,38.473585,27.074932,7.5,3.0,Dining and Drinking,(0232) 502 18 05,"Caher Dudayev Bul Mavi Bahçe Alışveriş Merkezi, Denizbostanlısı, 35590 Karşıyaka",167.0
Padre Brasserie By Ferdi,38.477138,27.074727,8.3,2.0,Pizza,,"6522 Sok No:3, Karşıyaka",227.0
Ferdi Baba,38.477071,27.074854,8.0,3.0,Seafood,0535 660 07 88,"6522 Sok No:3, Karşıyaka",218.0
Kent Spor&Cafe,38.474021,27.076429,7.7,2.0,Café,,İzmir,195.0
Baba Pizza Hilltown,38.476944,27.074974,7.7,2.0,Pizza,,"6522 Sok No:3 (Caher Dudayev bulvarı), 35560 İzmir",218.0
Breeze Brasserie,38.477378,27.074661,8.5,,Restaurant,0538 041 25 34,"Caner Dudayev Bul, Mavibahçe Avm, Karşıyaka",278.0
Fabrice,38.477138,27.074727,7.8,,Restaurant,0533 158 03 70,"6522 Sok No:3, Karşıyaka",238.0
The Hunger,38.477545,27.074809,8.3,,Restaurant,(0232) 324 33 35,"6522 Sok No:3, Karşıyaka",272.0
Bayram Steak House,38.41689,27.124472,,4.0,Steakhouse,,,209.0
Mr. Rakun,38.396463,27.071093,8.3,2.0,Café,,"İnönü Cad No:885/A, 35290 İzmir",49.0
Gönül Çorba,38.396568,27.069426,7.8,1.0,Soup Spot,(0232) 277 55 74,"Mehmetçik BLV, 35290 İzmir",95.0
Dürümcü İlker Usta,38.396037,27.068495,8.6,,Kebab,(0232) 277 35 82,"65/11 Sok No: 2, İzmir",211.0
Dönerci Vedat,38.398181,27.068774,8.7,,Doner,,"İstinye Park (Şehit  Binbaşı Ali Resmi Tufan Sok. No:3), Balçova",226.0
Şeref Usta Balık & Meze Evi,38.395463,27.072899,8.4,3.0,Seafood,,,232.0
Caffe Nero,38.39874,27.06867,8.2,2.0,Café,,"Istinye Park (Şehit  Binbaşı Ali Resmi Tufan Sok. No:3), Balçova",279.0
Ülver Teyze Rumeli Börekleri,38.395705,27.074686,8.6,,Restaurant,(0232) 520 02 92,"Inonu Cad No: 644, İzmir",379.0
Kofteci Sedat Usta,38.481656,27.089098,7.6,2.0,Turkish,,,477.0
Cafe Siesta,38.48561,27.086281,7.8,2.0,Café,,İzmir,524.0
Rún Lounge,38.476365,27.086934,8.4,2.0,Café,,"Ahmet Kemal Baysak BLV. No:44/A, Karşıyaka",639.0
Naturalinn Şarküteri & Restoran,38.476413,27.085998,7.6,,Restaurant,0539 596 72 34,"Ahmet Kemal Baysak Bul No:9/B, 35590 Karşıyaka",595.0
Nora Fırın Cafe & Patisserie,38.47592,27.086293,8.0,1.0,Bakery,,"6500 Sok . No:40, 35550",655.0
Sade Kahvaltı & Çikolata,38.475895,27.085036,8.0,2.0,Café,(0232) 935 15 01,"Ahmet Kemal Baysak BLV. No:14/C (Mavişehir), İzmir",664.0
Zekeriya Usta Kokoreç,38.480802,27.075549,9.1,2.0,Turkish,,"Carrefour Arkası (Mavişehir), İzmir",735.0
Kazım Bey Et Restaurant,38.486924,27.088996,9.3,,Restaurant,,"Soyak Siesta Meydan Avm, İzmir",750.0
Ora,38.486364,27.088338,7.7,2.0,Turkish,,"City Terrasse (İnönü Mah. 6718 Sok. No:68/1), Karşıyaka",648.0
Beyaz Fırın,38.386428,27.179544,8.5,2.0,Bakery,(0232) 420 82 90,"Kıbrıs Sok No:61B (Erdem Cad.), 35380 Buca",179.0
Öteyaka,38.385641,27.178016,8.7,4.0,Steakhouse,0505 319 58 69,"Erdem Cad No: 68/A Buca, İzmir",191.0
V-Mix Cafe & Bar,38.385445,27.178306,8.2,2.0,Café,,"Erdem Cad No:53, 35160 Buca",171.0
Feriştah Meyhane,38.385445,27.178306,7.9,,Meyhane,0539 566 72 75,"Erdem Cad No:53 (Menderes), 35000 Buca",171.0
Soulmate Coffee & Bakery,38.384147,27.182906,8.2,2.0,Café,,"24 Sok, Deü İibf Kapısı Karşısı (Erdem Caddesi), 35290 Buca",263.0
Cactus Coffee,38.38304,27.182672,8.6,2.0,Café,,Buca,290.0
Buckın Coffee Co.,38.382709,27.181964,8.2,2.0,Café,,"Erdem Cad No:18 Buca Adatepe (Erdem Caddesi), Buca",285.0
Göl Cafe,38.383498,27.170009,6.3,2.0,Café,(0232) 487 47 93,"Özmen Cad (Kıbrıs Cd.), Buca",111.0
Coffee Shop,38.383593,27.183252,8.3,2.0,Café,,"8/4 Sok No:4/A Adatepe-Buca (Erdem Caddesi), İzmir",328.0
Walter's Sandwich Lab,38.386489,27.182959,8.4,1.0,Sandwich Spot,(0232) 442 42 28,"3 Sok No:16/B (Adatepe Mah.), Buca",336.0
Rüzgar Kokoreç,38.3815,27.178162,8.5,,Kokoreç Restaurant,(0232) 440 58 26,"63 Sok, Buca",74.0
Kahve Esintisi,38.381361,27.176649,8.0,2.0,Café,0532 586 43 96,"Buca , Üçkuyular Meydanı, İzmir",98.0
Chef Food,38.380876,27.175543,7.7,2.0,Fast Food,0553 137 48 48,"Ucyol Meydan (Ismail Sivri Bulvarı), İzmir",215.0
Gazoz Ağacı,38.383815,27.1752,8.7,2.0,Café,,Buca,306.0
Buca Tostçusu,38.384547,27.1739,9.1,1.0,Fast Food,,"83 Sok No:41/B, Buca",429.0
Doy Doy Kokoreç,38.38286,27.173523,7.6,,Kokoreç Restaurant,,Buca,349.0
Zeytinyağlı Restorant,38.434144,27.142211,8.6,2.0,Turkish Home Cooking,(0232) 655 65 55,"Talatpaşa Bul, İzmir",131.0
Eski Usul Meyhane Alsancak,38.435307,27.141568,8.7,2.0,Meyhane,(0232) 421 44 09,"Irfan Boyuer Sok, Donerciler Sokagi, No:2/A Alsancak, Konak (1444), 35220 İzmir",255.0
Bade,38.435329,27.141217,8.4,2.0,Seafood,(0232) 421 28 22,"Cumhuriyet Bul No:198/A ((Gündoğdu-Kalyon Pub karşısı)), 35220 İzmir",256.0
Serkan Hamza Midyecilik,38.411591,27.033164,5.0,,"['Seafood', 'Food Stands']",+905352614039,"İnciraltı Mh., İnciraltı Cad. No:94, 35330 İzmir, Turkey",208.09827105425734
Körfez Restaurant,38.411454,27.033045,4.0,,['Seafood'],+902322777720,"İnciraltı Mah., No: 65, 35340 İzmir, Turkey",220.73871075868772
Istanbul Restaurant,38.4114609,27.0332508,4.0,,['Turkish'],+902322791699,"İnciraltı Cad. 128, Balçova, 35340 İzmir, Turkey",329.46387101613107
Çifte Kumrular Plus,38.409932,27.034188,4.0,₺₺,"['Fast Food', 'Hookah Bars']",+902322597585,"İnciraltı Cad.No: 49, Balçova, 35340 İzmir, Turkey",410.920036338012
Patlıcan,38.407675,27.031102,4.0,₺₺₺,"['Turkish', 'Kebab']",+902322594969,"İnciraltı Mah., Yıldız Sok. No:152, 35330 İzmir, Turkey",649.9223247272465
Lidaki  Restaurant,38.41402,27.026141,4.0,,"['Barbeque', 'Seafood', 'Mediterranean']",+902322782141,"İnciraltı Cd.10 Sok No. 185/ C, Balçova, 35340 İzmir, Turkey",564.7590523379342
Mercan Restoran,38.40896,27.035261,3.2,,['Seafood'],+902322590128,"İnciraltı Cad. No: 98, Balçova, 35340 İzmir, Turkey",546.8282434040008
Mavi Liman Balık Restaurant,38.413768,27.025074,4.0,,['Seafood'],+902322792334,"İnciraltı Cad. No:187/2, Balçova, 35340 İzmir, Turkey",654.8117452740671
Sahil Restoran Yusuf'un Yeri,38.4137,27.024731,3.7,₺₺,['Seafood'],+902322590175,"İnciraltı Mah., 10. Sok. No: 120 Balçova, 35340 İzmir, Turkey",684.2374879248009
İnciraltı Turkuaz,38.408605,27.035993,2.8,₺,['Fast Food'],+902322592727,"Gençlik Merkezi  Bakü Bulv., No: 30, İzmir, Turkey",611.1582793041549
Hacı'nın Yeri,38.406541,27.035695,3.3,,['Cafeteria'],+902322774311,"İnciraltı Mah., 10 Sok. No:118, 35340 İzmir, Turkey",810.1718093565024
Kumrucu Eyüp,38.4086297,27.0355453,3.0,,['Sandwiches'],+902322787058,"Fahrettin Altay Mh., Inciralti, 35340 İzmir, Turkey",590.6611611316778
Erdeniz Balık  Restoran,38.4086059869884,27.0351621508598,3.5,,['Seafood'],+902322590358,"İnciraltı Mh., 10. Sk. Balçova, 35330 İzmir, Turkey",579.2450082475059
Kumrucu İzzet,38.406405,27.035742,1.0,₺₺,['Fast Food'],+902322780672,"İnciraltı Cad., No: 56, 35340 İzmir, Turkey",825.7927003718123
Farklı Cafe & Restaurant,38.4082293,27.0073228,4.0,₺₺,"['Cafes', 'Turkish', 'Coffee & Tea']",+902322388500,"Gürler Cad. No:208, Sahilevleri, Narlıdere, 35320 İzmir, Turkey",640.7079742280054
İnci büfe,38.4116672,27.014752,3.6,₺,"['Coffee & Tea', 'Cafes']",,"Sahilevleri Mah. Gürler Sok. No. 7b Narlıdere - İzmir, 35320 İzmir, Turkey",115.7355402602923
İnci Çay Bahçesi,38.408435,27.00605,3.0,₺,"['Coffee & Tea', 'Cafes']",,"Gürler Cad., Sahilevleri, Narlıdere, 35320 İzmir, Turkey",725.3222381392497
Dut  Restoran & Cafe-Bar,38.4063603,26.9980034,4.3,₺,"['Mediterranean', 'Turkish', 'Seafood']",+902322387947,"Gürler Cad. No:54 Sahilevleri, Narlıdere, 35320 İzmir, Turkey",162.36043041166593
Yaya Restaurant,38.4256783,27.1984997,4.3,₺₺₺₺,['Restaurants'],+902327160266,"Kemal Paşa Cad., No: 86/A, İzmir, Turkey",1331.7416341008204
Neşve Çay Kahve Evi,38.4659309,27.2255096,4.0,₺₺,"['Coffee & Tea', 'Cafes']",+902323396262,"Kazımdirik Mah. Süvari Cad., No: 56, 35030 İzmir, Turkey",200.52396413314756
Bizim Gazino,38.40011,26.987634,4.5,,"['Seafood Markets', 'Restaurants']",+902322383049,"Altıevler Mah., Meyveli Sok. No: 14, İzmir, Turkey",1000.6783128313921
Potiri Meyhane,38.405989,27.0674,4.2,₺₺₺₺,"['Pubs', 'Turkish']",+902322590090,"Levent Marina, Haydar Aliyev Bulv.No: 4, İzmir, Turkey",491.377713765608
Sipari Balık Restaurant,38.406137,27.067246,4.7,,"['Seafood', 'Turkish']",+902322595958,"Haydar Aliyev Bulv. No: 4, Balçova, İzmir, Turkey",475.72936869475416
Boğaziçi Restaurant,38.405569,27.070974,4.7,₺₺₺,"['Turkish', 'Seafood', 'Breakfast & Brunch']",+902322788888,"Bahçelerarası Mah., Mustafa Kemal Sahil Blv., 35920 İzmir, Turkey",806.2725987655206
Tuval Restaurant,38.4057308,27.0683864000001,5.0,,"['Turkish', 'Mediterranean']",+905321795556,"Haydar Aliyev Blv. No:4/5, Levent Marina, 35330 İzmir, Turkey",580.9793709919622
Tarasa Nostalji,38.405926,27.067459,4.0,,"['Fast Food', 'Turkish']",+902322590090,"Haydar Aliyev Bulv., No: 4, Levant Marina İçinde, İzmir, Turkey",497.6016289195424
Free Time,38.411634,27.064018,3.5,₺,['Turkish'],+902322792854,"Novada AVM., Çetin  Emeç Mah.Moda Sok. No:6/ A .Balçova, 35320 İzmir, Turkey",581.8700170015353
Gizli Bahçe,38.3747902,26.898695,3.6,,['Turkish'],+902322341317,"Yalı Mah., 144. Sok. No: 27/A-B Güzelbahçe, 35330 İzmir, Turkey",1032.2020332151496
Peximet,38.398317,27.053289,3.7,₺₺,"['Cafes', 'Coffee & Tea']",+902324211010,"Agora AVM., Mithatpasa Cad. No:1446 Balcova, İzmir, Turkey",1192.0087963985327
Peximet Göztepe,38.3988263,27.0788747,4.0,₺,"['Coffee & Tea', 'Cafes']",+902324632842,"Mithatpaşa Cd. No:1170, Güzelyalı, 35290 İzmir, Turkey",1003.1431794581978
Egeli Balık Restaurant,38.3992803603057,27.0816243750933,5.0,,['Seafood'],+902322483797,"Mustafa Kemal Sahil Blv. No:751, Güzelyalı, 35370 İzmir, Turkey",1167.1484032946103
Peynir Evi Kahvaltı ve Ev Yemekleri,38.396802,27.0640051,5.0,,"['Breakfast & Brunch', 'Homemade Food']",+902322599993,"Mithatpaşa Cad. No:145-B, Balçova, 35340 İzmir, Turkey",1035.4415381941942
ACO,38.398941,27.080633,5.0,,['Fast Food'],+902322472833,"Mithat Paşa Cad., No: 1045/D, 35290 İzmir, Turkey",1115.7682956621322
İpek Yufka,38.3958015,27.0747299,4.0,₺,['Delis'],+902322474203,"Gürsel Aksel Bulv., No: 25/B, Tansaş Karşısı, İzmir, Turkey",1070.9948562569346
Battalbey Çiğköfte,38.395968,27.073705,3.5,₺,['Turkish'],+902322247333,"Üçkuyular Mah. İnönü Cad., No: 658 D: 2, 35290 İzmir, Turkey",1023.4651576966843
Meryemce Mantı Evi,38.396465,27.07175,4.0,,['Turkish'],+902322469487,"Üçkuyular Mah. İnönü Cad., No: 861/B, 35260 İzmir, Turkey",931.3186944647791
Hamsiköy Akçaabat Köftecisi,38.396793,27.064135,4.0,,['Turkish'],+902322595857,"Mithat Paşa Cad., No: 305, 35320 İzmir, Turkey",1030.4506033340688
Güzelyalı Dürümcüsü,38.397997,27.080824,4.0,,"['Turkish', 'Kebab']",+902322249991,"36. Sok. No: 1, Karakol Karşısı, 45000 İzmir, Turkey",1192.5437029321517
Waffle'cı Akın,38.398816,27.07949,4.6,,"['Coffee & Tea', 'Cafes', 'Waffles']",+902322479082,"Mithat Paşa Cad. No:1073/A, Göztepe, 35290 İzmir, Turkey",1044.8930444893708
By Cicogna Restoran,38.398486,27.080187,3.2,₺₺,['Turkish'],+902322590090,"Üçkuyular /  İzmir, Haydar Aliyev Bulv. No: 4 Levent Marina İçinde, 35290 İzmir, Turkey",1115.203554904177
Metehan Şarküteri,38.3950386,27.0698509,4.0,,['Delis'],+902322856691,"Mehmetçik Bulv. No: 39/ B, 35340 İzmir, Turkey",965.7031417298181
Little Caesars Pizza,38.396559,27.071455,4.0,,['Pizza'],+904445244,"Üçkuyular Mah., Fahrettin Altay Meydanı No: 2 / A, 35290 İzmir, Turkey",917.5459217137515
