restaurant_name,restaurant_latitude,restaurant_longitude,rating,price,category,tel,address,distance,source
Karataş Ekmek Ve Unlu Mamülleri,38.409855,27.119582,3.95,1.0,Bakery,(0232) 446 76 89,"Mithat Paşa Cad No: 165/A, Konak Merkez, İzmir",214,foursquare
Eye Opia,38.409433,27.120624,4.0,2.0,Café,0539 214 76 07,"Karataş 305 Sok No:37/A Barbaros Sok (Mithatpaşa Cad.), İzmir",253,foursquare
Asansir Cafe & Souvenir,38.40928,27.117499,4.15,2.0,Café,0555 560 27 92,"Mithatpaşa Cad Dario Moreno Sok No: 1 Karataş, İzmir",344,foursquare
Frida Cafe,38.409296,27.117236,4.2,2.0,Café,0545 342 09 75,"Turgut Reis, Dario Moreno Sok No:1 (Şht. Nihat Bey Cad.), 35000 Konak",350,foursquare
Taş Ev,38.409112,27.117351,4.1,2.0,Café,,"Dario Moreno Sok, Konak",370,foursquare
Asansör Teras Cafe & Bar,38.408619,27.117471,4.1,2.0,Café,(0232) 293 47 77,"Şehit Nihat Bey Cad (Karataş), 35280 Konak",408,foursquare
Cevatın Yeri Sahne Cafe,38.414801,27.12348,3.9,2.0,Café,,İzmir,471,foursquare
Ergök Döner,38.405558,27.121261,4.5,,Doner,(0232) 255 39 20,"İnönü Cad, No: 160 / B Hatay, Karabağlar",633,foursquare
Osmanlı,38.418724,27.125827,3.75,2.0,Café,,"Mustafa Kemal Sahil Bul, İzmir",43,foursquare
Kaffa Keyf,38.418746,27.125476,3.6,2.0,Café,(0232) 445 50 45,"Konak Vapur İskelesi Üstü, Konak",93,foursquare
Rıhtım Cafe,38.418718,27.125915,3.2,2.0,Café,,"Konak Vapur İskelesi Yanı, Konak",32,foursquare
Alsancak Unlu Mamuller,38.41876,27.126046,3.0,1.0,Bakery,,"Konak Vapur İskelesi, Konak",34,foursquare
Çaykovski,38.417869,27.129058,4.2,1.0,Café,(0232) 483 01 34,"31. Sokak, Konak",262,foursquare
Cimbomlu Meşhur Söğüşçü,38.419221,27.131919,4.35,1.0,Fast Food,(0232) 445 64 82,"855 Sok, No: 13 / A, 35250 Konak",454,foursquare
Konak Subay Orduevi Kahve'Nin Âlâsı,38.415298,27.124938,3.7,2.0,Café,,Konak,396,foursquare
Tarihi Kemeraltı Börekçisi,38.418298,27.131823,4.1,1.0,Bakery,,Konak,471,foursquare
Komposto Turk Mutfagi,38.420914,27.132207,4.55,1.0,Turkish Home Cooking,(0232) 483 21 83,"861 Sok No: 46 Kemeralti, 35250 Konak",548,foursquare
L’Aura Kitchen & Bar,38.423406,27.127362,4.1,3.0,Italian,0530 391 35 35,"Ataturk Cad No:19 Konak Pier Avm (Atatürk Caddesi No:19/S), 35210 İzmir",523,foursquare
Çaykovski,38.417869,27.129058,4.2,1.0,Café,(0232) 483 01 34,"31. Sokak, Konak",197,foursquare
